epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,241.092,2.63299,4.34476,2.48008,0.00908,0.05168,0.00644,0.00211,2.34317,4.40036,2.22497,0.00017342,0.00017342,0.00017342
2,409.162,2.27939,3.86935,2.05071,0.00883,0.05966,0.00694,0.00266,2.32092,3.91314,2.03338,0.000349135,0.000349135,0.000349135
3,565.006,2.22347,3.50751,1.95652,0.00955,0.05207,0.00842,0.00303,2.30991,4.04641,2.09569,0.000520393,0.000520393,0.000520393
4,700.401,2.19648,3.24573,1.94721,0.81881,0.03381,0.01075,0.00307,2.33526,3.8026,2.15121,0.000642238,0.000642238,0.000642238
5,849.399,2.2071,3.119,1.9853,0.80889,0.03594,0.00798,0.00323,2.23953,4.26776,2.02106,0.000633983,0.000633983,0.000633983
6,1011.53,2.17748,3.00274,1.94427,0.8205,0.03594,0.01565,0.00609,2.22508,3.51525,2.02833,0.000625729,0.000625729,0.000625729
7,1263.01,2.19347,2.79564,1.95861,0.81773,0.03623,0.01252,0.00442,2.19307,3.31066,1.99025,0.000617475,0.000617475,0.000617475
8,1458.74,2.16691,2.74734,1.96363,0.73338,0.03711,0.01429,0.00551,2.19711,3.22974,2.0002,0.000609221,0.000609221,0.000609221
9,1632.14,2.16627,2.65947,1.95399,0.64723,0.02933,0.01255,0.00482,2.19347,3.27169,2.02287,0.000600967,0.000600967,0.000600967
10,1751.46,2.16014,2.62246,1.97349,0.01354,0.0588,0.01042,0.00392,2.20219,3.20351,1.97216,0.000592713,0.000592713,0.000592713
11,1887.05,2.14578,2.50294,1.96659,0.42262,0.03391,0.01451,0.00549,2.14936,2.89625,1.91638,0.000584459,0.000584459,0.000584459
12,2026.26,2.10791,2.48953,1.9326,0.14983,0.03299,0.01298,0.00461,2.14992,3.00104,1.9296,0.000576205,0.000576205,0.000576205
13,2210.44,2.15303,2.46088,1.97451,0.12197,0.03312,0.01188,0.00457,2.15357,3.39967,1.9624,0.00056795,0.00056795,0.00056795
14,2382.93,2.11587,2.45353,1.95029,0.01576,0.04721,0.01255,0.00444,2.16881,2.97033,1.98576,0.000559696,0.000559696,0.000559696
15,3668.48,2.11259,2.37402,1.95004,0.42434,0.0262,0.01647,0.00628,2.12101,2.82538,1.93442,0.000551442,0.000551442,0.000551442
16,3839.31,2.11294,2.3615,1.96472,0.24727,0.03301,0.01312,0.00517,2.13439,3.22201,1.96847,0.000543188,0.000543188,0.000543188
17,4009.68,2.07514,2.29547,1.93233,0.46738,0.03939,0.01883,0.0067,2.11597,2.86118,1.93088,0.000534934,0.000534934,0.000534934
18,5282.29,2.08311,2.2592,1.94575,0.1451,0.06279,0.02353,0.0081,2.11468,3.1307,1.89138,0.00052668,0.00052668,0.00052668
19,5525.52,2.08182,2.2956,1.93489,0.13625,0.03674,0.02099,0.00809,2.14373,2.98388,1.94957,0.000518426,0.000518426,0.000518426
20,6564.54,2.09768,2.25932,1.94337,0.15288,0.04363,0.01909,0.00697,2.16974,2.82436,2.02848,0.000510172,0.000510172,0.000510172
21,6803.27,2.04806,2.27077,1.91184,0.02217,0.05673,0.01869,0.0063,2.12665,2.77485,1.97964,0.000501917,0.000501917,0.000501917
22,7038.54,2.04139,2.25087,1.90974,0.14208,0.02474,0.01582,0.00541,2.14657,2.74153,2.00601,0.000493663,0.000493663,0.000493663
23,7337.62,2.04633,2.223,1.93038,0.0142,0.02827,0.01176,0.0041,2.13634,2.86878,1.95988,0.000485409,0.000485409,0.000485409
24,7597.08,2.05611,2.16874,1.92176,0.03289,0.02284,0.01547,0.00531,2.12047,2.84335,1.93666,0.000477155,0.000477155,0.000477155
25,7831.32,2.01701,2.12317,1.91137,0.12985,0.02456,0.01203,0.00451,2.14155,2.97332,2.02997,0.000468901,0.000468901,0.000468901
26,8585.86,2.00651,2.12369,1.90898,0.16592,0.04728,0.01842,0.00674,2.12862,3.08288,1.98959,0.000460647,0.000460647,0.000460647
27,8899.03,1.99787,2.14855,1.88365,0.0355,0.01522,0.01045,0.00379,2.10978,3.02093,1.94325,0.000452393,0.000452393,0.000452393
28,9327.49,1.99439,2.12597,1.87251,0.04046,0.01669,0.01186,0.00362,2.15134,2.97843,1.98114,0.000444139,0.000444139,0.000444139
29,9968.98,1.99059,2.11463,1.88486,0.02434,0.02277,0.01756,0.00715,2.12549,2.8191,1.92724,0.000435884,0.000435884,0.000435884
