epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.829,1.55622,4.18227,1.32703,0.76025,0.09169,0.07956,0.04267,1.37752,9.8272,1.09162,0.000174217,0.000174217,0.000174217
2,261.412,1.42429,3.29842,1.27146,0.5723,0.17435,0.11154,0.06476,1.31651,10.8393,1.1075,0.000345224,0.000345224,0.000345224
3,407.911,1.40376,2.98139,1.25874,0.50036,0.20728,0.16041,0.08938,1.30971,7.629,1.04293,0.000511892,0.000511892,0.000511892
4,591.787,1.38736,3.02126,1.25916,0.47637,0.19219,0.14786,0.09212,1.28769,7.03885,1.09164,0.000506472,0.000506472,0.000506472
5,765.333,1.35698,2.61604,1.24939,0.66346,0.26175,0.21092,0.14689,1.19708,5.98945,1.03316,0.000499963,0.000499963,0.000499963
6,926.903,1.32201,2.58842,1.22394,0.58612,0.23285,0.20861,0.1411,1.20618,6.95547,1.10182,0.000493454,0.000493454,0.000493454
7,1092.89,1.30866,2.60391,1.21862,0.77716,0.2248,0.24313,0.15469,1.24449,5.3137,1.08675,0.000486945,0.000486945,0.000486945
8,1344.76,1.28068,2.40724,1.20102,0.33915,0.23926,0.16995,0.11545,1.1114,5.4066,1.01373,0.000480435,0.000480435,0.000480435
9,1543.82,1.27933,2.24632,1.19012,0.47482,0.32012,0.25942,0.17763,1.12702,4.26905,1.00859,0.000473926,0.000473926,0.000473926
10,1780.29,1.26588,2.15323,1.16872,0.57116,0.25041,0.28296,0.1955,1.11037,4.64375,1.03426,0.000467417,0.000467417,0.000467417
11,2103.38,1.23821,2.08024,1.16242,0.37815,0.34485,0.25452,0.17774,1.16404,3.4179,1.04477,0.000460907,0.000460907,0.000460907
12,2428.51,1.23574,2.0197,1.19112,0.58458,0.30932,0.30016,0.20271,1.13598,3.54947,1.02598,0.000454398,0.000454398,0.000454398
13,2776.81,1.18469,1.99579,1.16481,0.48764,0.28391,0.2524,0.17789,1.09818,3.53499,0.99812,0.000447889,0.000447889,0.000447889
14,3137.46,1.16134,1.89164,1.15258,0.30765,0.26876,0.26215,0.18235,1.04549,3.05528,0.97907,0.00044138,0.00044138,0.00044138
15,3446.78,1.20722,1.87731,1.16043,0.45222,0.4212,0.30521,0.21577,1.13753,3.01585,0.99652,0.00043487,0.00043487,0.00043487
16,3641.86,1.18063,1.82628,1.13656,0.72376,0.25403,0.33548,0.23573,1.13447,2.83223,1.0344,0.000428361,0.000428361,0.000428361
17,3846.12,1.15622,1.82399,1.13242,0.51488,0.36525,0.31503,0.2169,1.01944,3.65646,0.97036,0.000421852,0.000421852,0.000421852
18,4045.2,1.18687,1.77924,1.14149,0.55211,0.34715,0.3194,0.21993,1.01774,3.34672,0.98319,0.000415343,0.000415343,0.000415343
19,4357.87,1.12943,1.74149,1.14822,0.3346,0.42473,0.28882,0.2018,1.00661,2.93448,0.97999,0.000408834,0.000408834,0.000408834
20,4672.37,1.14694,1.77501,1.13871,0.27825,0.42002,0.32585,0.22659,1.09372,2.55958,1.00767,0.000402324,0.000402324,0.000402324
21,5055.23,1.13783,1.7136,1.12723,0.47964,0.38106,0.35613,0.25357,1.02346,2.56263,0.96211,0.000395815,0.000395815,0.000395815
22,5402.23,1.14799,1.56507,1.10502,0.56505,0.37096,0.37959,0.2806,1.00719,2.30984,0.96593,0.000389306,0.000389306,0.000389306
23,5755.61,1.08648,1.60882,1.10206,0.38718,0.36868,0.35583,0.25451,1.06979,2.37665,0.98326,0.000382796,0.000382796,0.000382796
