epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.9581,2.52443,5.63956,1.08606,0.06924,0.02526,0.03814,0.0206,1.59419,5.91825,0.76127,0.00012624,0.00012624,0.00012624
2,62.7788,1.8346,3.21421,0.85324,0,0,0,0,1.69308,5.71178,0.76076,0.000252637,0.000252637,0.000252637
3,101.658,1.68972,2.62121,0.83843,0.03075,0.42716,0.13697,0.08719,1.56266,5.21619,0.77099,0.000373826,0.000373826,0.000373826
4,139.484,1.66459,2.53839,0.81696,0.0242,0.66624,0.2156,0.12942,1.52336,4.44816,0.76556,0.000489808,0.000489808,0.000489808
5,187.47,1.5258,2.39983,0.83595,0.57042,0.16743,0.21549,0.12983,1.44839,3.89368,0.76553,0.000484341,0.000484341,0.000484341
6,235.369,1.41935,2.28929,0.82049,0.50532,0.22938,0.29281,0.1837,1.38822,3.66305,0.76967,0.000473926,0.000473926,0.000473926
7,280.059,1.36273,2.16749,0.81538,0.3933,0.32861,0.29048,0.19128,1.29276,3.28807,0.77473,0.000463511,0.000463511,0.000463511
8,321.393,1.26425,2.01462,0.8074,0.40837,0.41991,0.32355,0.20644,1.25617,3.0312,0.76926,0.000453096,0.000453096,0.000453096
9,356.87,1.32939,1.98844,0.80575,0.42068,0.37801,0.35742,0.23813,1.19006,2.98691,0.76772,0.000442682,0.000442682,0.000442682
10,391.932,1.27191,1.90982,0.81441,0.29896,0.41473,0.36421,0.24155,1.21719,2.84584,0.76635,0.000432267,0.000432267,0.000432267
11,427.331,1.34326,1.95607,0.79927,0.30534,0.37427,0.38502,0.24883,1.23929,2.62342,0.76701,0.000421852,0.000421852,0.000421852
12,461.738,1.20707,1.81116,0.79438,0.25741,0.50182,0.37791,0.24342,1.21284,2.46926,0.77058,0.000411437,0.000411437,0.000411437
13,510.118,1.26038,1.81741,0.81086,0.3536,0.41572,0.39942,0.26817,1.16694,2.41449,0.76857,0.000401022,0.000401022,0.000401022
14,551.396,1.23959,1.70998,0.79663,0.31038,0.44138,0.38554,0.26157,1.1607,2.21549,0.76663,0.000390608,0.000390608,0.000390608
15,1489.07,1.2176,1.64584,0.78518,0.34668,0.45468,0.4141,0.28217,1.16421,2.27097,0.76942,0.000380193,0.000380193,0.000380193
16,2427.22,1.153,1.57418,0.79405,0.44042,0.45145,0.42299,0.28,1.14573,2.18186,0.76544,0.000369778,0.000369778,0.000369778
17,2458.65,1.23398,1.60154,0.80085,0.39024,0.45858,0.4412,0.299,1.13376,2.18413,0.76884,0.000359363,0.000359363,0.000359363
18,3390.61,1.15904,1.593,0.80818,0.46188,0.46901,0.45334,0.30253,1.14003,2.12079,0.76558,0.000348948,0.000348948,0.000348948
19,3419.11,1.16691,1.55788,0.79291,0.45083,0.43853,0.45978,0.31832,1.1375,2.08635,0.76909,0.000338534,0.000338534,0.000338534
20,3448.79,1.13146,1.52741,0.79017,0.42299,0.43689,0.454,0.30681,1.11698,2.06605,0.76694,0.000328119,0.000328119,0.000328119
21,3475.85,1.13876,1.53486,0.79685,0.42846,0.53105,0.47003,0.31712,1.15337,2.02262,0.76669,0.000317704,0.000317704,0.000317704
22,3506.48,1.22925,1.51463,0.79165,0.44218,0.45672,0.46222,0.31836,1.14993,2.03984,0.76746,0.000307289,0.000307289,0.000307289
23,3533.88,1.1048,1.5261,0.79616,0.52259,0.46522,0.48205,0.32713,1.11702,1.88252,0.76623,0.000296874,0.000296874,0.000296874
24,3560.92,1.06625,1.41311,0.79087,0.46132,0.42791,0.47221,0.31206,1.12969,1.93682,0.76724,0.00028646,0.00028646,0.00028646
25,3587.45,1.11926,1.4442,0.77838,0.4989,0.49999,0.47589,0.32096,1.09968,1.8113,0.76283,0.000276045,0.000276045,0.000276045
26,3616.31,1.19331,1.39696,0.78845,0.47376,0.50102,0.46331,0.31183,1.05153,1.89555,0.76357,0.00026563,0.00026563,0.00026563
27,3639.53,1.05959,1.26688,0.79381,0.48782,0.47388,0.47579,0.32488,1.05072,1.82576,0.76174,0.000255215,0.000255215,0.000255215
28,3667.72,1.11773,1.37413,0.79663,0.48589,0.46984,0.47543,0.33143,1.08562,1.78814,0.76346,0.0002448,0.0002448,0.0002448
29,3693.4,1.08837,1.33372,0.79069,0.49498,0.44156,0.47707,0.32054,1.08109,1.74187,0.76409,0.000234386,0.000234386,0.000234386
30,3718.51,1.0979,1.36057,0.78849,0.46659,0.48134,0.46754,0.31319,1.09084,1.73618,0.76231,0.000223971,0.000223971,0.000223971
31,3741.99,1.0981,1.25596,0.78805,0.39697,0.54424,0.4799,0.32858,1.04678,1.7945,0.76329,0.000213556,0.000213556,0.000213556
32,3766.04,1.06114,1.3121,0.78331,0.50227,0.49215,0.47031,0.33139,1.00512,1.71562,0.76192,0.000203141,0.000203141,0.000203141
33,3813.18,1.13866,1.26145,0.77458,0.47667,0.466,0.47296,0.3258,1.05727,1.67045,0.76491,0.000192726,0.000192726,0.000192726
34,3869.3,1.0968,1.24409,0.78316,0.49213,0.51373,0.45001,0.31511,1.04457,1.64453,0.76378,0.000182312,0.000182312,0.000182312
35,3944.18,1.01817,1.23786,0.78447,0.45658,0.4957,0.48,0.3343,1.05112,1.62698,0.76262,0.000171897,0.000171897,0.000171897
36,3991.84,1.12992,1.26749,0.78431,0.49659,0.44415,0.48971,0.33906,1.02632,1.64622,0.76394,0.000161482,0.000161482,0.000161482
37,4025.42,1.07612,1.18866,0.77925,0.46538,0.51141,0.48466,0.3333,1.018,1.6511,0.76294,0.000151067,0.000151067,0.000151067
38,4055.7,1.05229,1.23084,0.76517,0.48963,0.50866,0.48631,0.33735,0.99943,1.6417,0.76313,0.000140652,0.000140652,0.000140652
39,4084.06,1.0307,1.16261,0.77398,0.49903,0.47591,0.48842,0.34455,0.99972,1.57165,0.76178,0.000130238,0.000130238,0.000130238
40,4112.67,1.01462,1.19037,0.77462,0.51118,0.50217,0.48374,0.34435,0.9853,1.59003,0.75886,0.000119823,0.000119823,0.000119823
41,4142.11,1.04501,1.24756,0.77445,0.54236,0.49812,0.4832,0.33509,1.06581,1.59636,0.76206,0.000109408,0.000109408,0.000109408
42,4174.43,1.04765,1.32877,0.77022,0.54615,0.46975,0.48765,0.3337,1.05215,1.51775,0.75982,9.89932e-05,9.89932e-05,9.89932e-05
