epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.7351,3.38811,5.50627,2.82837,0,0,0,0,3.46224,5.14258,2.70625,8.942e-05,8.942e-05,8.942e-05
2,82.8771,3.35102,5.19652,2.65729,0,0,0,0,3.60918,5.11754,2.68769,0.000178025,0.000178025,0.000178025
3,114.062,3.31874,5.31592,2.57617,0.00172,0.01016,0.00097,0.00034,3.39743,5.08495,2.70914,0.000260381,0.000260381,0.000260381
4,136.774,3.07008,5.1633,2.44173,0.00207,0.02846,0.00161,0.00047,3.58048,4.86128,2.83615,0.000336487,0.000336487,0.000336487
5,167.056,3.23503,4.94325,2.59899,0.00521,0.07499,0.02289,0.00262,3.67023,4.67485,2.91501,0.000406346,0.000406346,0.000406346
6,190.95,3.16699,5.08449,2.43702,0.00427,0.17234,0.01011,0.00185,3.45276,4.36988,2.74941,0.00043921,0.00043921,0.00043921
7,214.556,3.26475,4.9382,2.53009,0.34849,0.03712,0.0063,0.00135,3.36057,4.16147,2.66074,0.000421852,0.000421852,0.000421852
8,241.222,3.2276,4.72629,2.48493,0.90779,0.01754,0.0211,0.00238,3.32295,4.07493,2.64274,0.000404494,0.000404494,0.000404494
9,270.72,3.26668,4.52037,2.42517,0.00561,0.15073,0.00567,0.00127,3.23542,4.05763,2.50398,0.000387136,0.000387136,0.000387136
10,302.84,3.23279,4.79975,2.38376,0.00614,0.1027,0.00627,0.00141,3.14133,4.05489,2.36736,0.000369778,0.000369778,0.000369778
11,333.735,3.09342,4.40542,2.31062,0.00803,0.2346,0.0097,0.0029,3.12891,4.21106,2.3683,0.00035242,0.00035242,0.00035242
12,362.693,3.23684,4.56511,2.3537,0.00585,0.21021,0.01196,0.00239,3.17396,4.31293,2.37693,0.000335062,0.000335062,0.000335062
13,391.747,3.27288,4.5705,2.29867,0.00437,0.1243,0.00941,0.00234,3.14924,4.43325,2.33006,0.000317704,0.000317704,0.000317704
14,428.896,3.00707,4.34455,2.20814,0.00555,0.17715,0.00648,0.00186,3.15113,4.43309,2.3143,0.000300346,0.000300346,0.000300346
15,466.163,3.07147,4.27961,2.26394,0.00538,0.20892,0.00688,0.00215,3.15436,4.39825,2.35998,0.000282988,0.000282988,0.000282988
16,497.045,3.00611,4.09995,2.267,0.01372,0.09991,0.00942,0.00257,3.18639,4.52761,2.39113,0.00026563,0.00026563,0.00026563
17,527.588,3.15017,4.54571,2.28307,0.00735,0.05263,0.00508,0.00144,3.12084,4.42057,2.34079,0.000248272,0.000248272,0.000248272
18,558.669,2.96639,4.18732,2.17677,0.00417,0.22721,0.00559,0.00163,3.17144,4.19423,2.36175,0.000230914,0.000230914,0.000230914
19,593.013,3.11432,4.22752,2.26409,0.0045,0.24069,0.00833,0.0027,3.16862,4.17479,2.36088,0.000213556,0.000213556,0.000213556
20,630.4,3.13547,4.45234,2.23886,0.00515,0.20282,0.00874,0.003,3.14935,4.17402,2.37475,0.000196198,0.000196198,0.000196198
21,664.824,3.17874,4.90255,2.29204,0.00614,0.23534,0.01133,0.00339,3.10049,4.07813,2.32297,0.00017884,0.00017884,0.00017884
22,703.272,3.14737,5.29954,2.15089,0.00743,0.16902,0.01285,0.00331,3.03532,4.00801,2.26582,0.000161482,0.000161482,0.000161482
23,742.773,2.81038,4.9796,2.04515,0.00686,0.24679,0.01278,0.00308,3.02733,4.03452,2.26133,0.000144124,0.000144124,0.000144124
24,777.886,2.87793,5.10657,2.06635,0.00283,0.08184,0.0048,0.00151,3.01375,4.01976,2.25645,0.000126766,0.000126766,0.000126766
25,836.489,2.95547,4.96361,2.11927,0.0054,0.17105,0.00971,0.00274,3.04751,4.00202,2.26613,0.000109408,0.000109408,0.000109408
26,916.865,2.90234,4.8932,2.10039,0.00532,0.08312,0.00761,0.00153,3.0633,3.97626,2.26139,9.205e-05,9.205e-05,9.205e-05
27,954.939,2.86892,5.07361,2.07997,0.00511,0.14056,0.01733,0.00304,3.05283,3.9695,2.25717,7.4692e-05,7.4692e-05,7.4692e-05
28,985.545,2.98964,4.83611,2.13294,0.00531,0.19266,0.01498,0.00277,3.0409,3.95958,2.245,5.7334e-05,5.7334e-05,5.7334e-05
29,1015.34,2.88781,4.80393,2.07629,0.00462,0.16699,0.01488,0.00239,3.06149,3.96047,2.25827,3.9976e-05,3.9976e-05,3.9976e-05
30,1046.24,2.90462,4.60683,2.1121,0.01225,0.09991,0.0185,0.00254,3.05361,3.95624,2.25205,2.2618e-05,2.2618e-05,2.2618e-05
